,Inf,Name,Position,Nat,Age,Club,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Left Foot,Right Foot,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Height,Injury Risk,Expires,,Min Value,Max Value,Avg Value,height_feet,height_inch,height_cm,Months Remaining
427,     , Borko Duronjić                ," AM (RL), ST (C)                  ", SRB ,25.0, Radnik Surdulica          , £120K - £350K   ,775.0, -       , -           , -                            , Balanced            , Media-friendly              , Strong        , Very Strong   ,2.0,13.0,1.0,12.0,10.0,10.0,9.0,12.0,1.0,12.0,10.0,10.0,11.0,13.0,11.0,11.0,10.0,12.0,2.0,10.0,10.0,2.0,10.0,10.0,8.0,12.0,13.0,10.0,8.0,2.0,11.0,10.0,8.0,9.0,11.0,3.0,3.0,10.0,10.0,9.0," 5'8""   ", Normal      ,2024-06-30, ,120000.0,350000.0,235000.0,5,8,172.72,10.0
429,     , Mario García                  , D/WB/M (L)                       , ESP ,19.0, R. Santander B            , £140K - £400K   ,775.0, -       , £850K       , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,2.0,12.0,1.0,12.0,11.0,11.0,9.0,12.0,2.0,12.0,14.0,13.0,12.0,10.0,8.0,6.0,11.0,9.0,1.0,9.0,8.0,3.0,10.0,12.0,10.0,10.0,12.0,11.0,10.0,1.0,11.0,10.0,10.0,12.0,11.0,2.0,2.0,9.0,11.0,10.0," 5'8""   ", Low         ,2026-06-30, ,140000.0,400000.0,270000.0,5,8,172.72,34.0
431,     , Franco García                 ," AM (R), ST (C)                   ", ARG ,26.0, Cobresal                  , £325K - £950K   ,775.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,1.0,13.0,2.0,5.0,12.0,12.0,7.0,8.0,2.0,11.0,11.0,12.0,16.0,10.0,13.0,10.0,11.0,14.0,1.0,6.0,8.0,3.0,9.0,13.0,5.0,12.0,13.0,10.0,10.0,3.0,12.0,4.0,5.0,10.0,13.0,2.0,2.0,8.0,13.0,10.0," 5'8""   ", Low         ,2024-12-31, ,325000.0,950000.0,637500.0,5,8,172.72,16.0
433, Wnt , Ricardo Esgaio                , D/WB/M (R)                       , POR ,30.0, Sporting CP               , £1.1M - £4.9M   ,14500.0, -       , £38.5M      , -                            , Resolute            , Level-headed                , Reasonable    , Very Strong   ,1.0,13.0,1.0,13.0,12.0,11.0,14.0,14.0,3.0,12.0,11.0,12.0,11.0,15.0,11.0,9.0,12.0,12.0,3.0,7.0,7.0,2.0,12.0,11.0,11.0,13.0,13.0,13.0,11.0,1.0,15.0,11.0,13.0,15.0,12.0,2.0,2.0,13.0,15.0,12.0," 5'8""   ", Low         ,2026-06-30, ,1100000.0,4900000.0,3000000.0,5,8,172.72,34.0
435,     , Hugo Magnetti                 ," DM, M (C)                        ", FRA ,25.0, Brest                     , £3.5M - £6.8M   ,11750.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Reasonable    , Very Strong   ,2.0,12.0,2.0,15.0,13.0,13.0,15.0,13.0,4.0,12.0,13.0,11.0,12.0,13.0,13.0,10.0,14.0,12.0,3.0,10.0,10.0,3.0,13.0,10.0,12.0,12.0,12.0,14.0,12.0,2.0,14.0,15.0,13.0,14.0,13.0,3.0,2.0,12.0,14.0,11.0," 5'8""   ", Increased   ,2026-06-30, ,3500000.0,6800000.0,5150000.0,5,8,172.72,34.0
437, Wnt , Famana Quizera                ," M (C), AM (RLC)                  ", GNB ,21.0, Ac. Viseu                 , £100K - £1M     ,1500.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,13.0,2.0,13.0,13.0,12.0,12.0,12.0,3.0,11.0,11.0,8.0,10.0,12.0,12.0,11.0,13.0,14.0,2.0,6.0,6.0,2.0,3.0,13.0,10.0,12.0,12.0,14.0,10.0,1.0,13.0,10.0,11.0,12.0,14.0,3.0,4.0,13.0,11.0,12.0," 5'8""   ", Normal      ,2026-06-30, ,100000.0,1000000.0,550000.0,5,8,172.72,34.0
439, Inj , Mehdi Loune                   , M/AM (LC)                        , GER ,19.0, Eintracht Frankfurt       , £150K - £1.5M   ,3300.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,1.0,13.0,1.0,15.0,13.0,9.0,11.0,8.0,1.0,10.0,12.0,9.0,9.0,11.0,13.0,11.0,12.0,13.0,3.0,7.0,7.0,1.0,6.0,11.0,7.0,11.0,12.0,12.0,8.0,3.0,12.0,7.0,8.0,11.0,13.0,3.0,3.0,12.0,10.0,14.0," 5'8""   ", High        ,2025-06-30, ,150000.0,1500000.0,825000.0,5,8,172.72,22.0
441,     , Saïd Benrahma                 , AM (RLC)                         , ALG ,28.0, OL                        , £15.5M - £23M   ,60000.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,1.0,14.0,3.0,10.0,15.0,11.0,13.0,11.0,1.0,11.0,13.0,10.0,11.0,14.0,16.0,11.0,17.0,18.0,1.0,8.0,7.0,1.0,6.0,11.0,5.0,14.0,14.0,12.0,6.0,3.0,14.0,9.0,6.0,10.0,17.0,2.0,2.0,12.0,13.0,10.0," 5'8""   ", Normal      ,2026-06-30, ,15500000.0,23000000.0,19250000.0,5,8,172.72,34.0
443,     , Cédric                        , D/WB (RL)                        , POR ,31.0, Arsenal                   , £130K - £4.9M   ,65000.0, -       , -           , -                            , Fairly Professional , Reserved                    , Reasonable    , Very Strong   ,1.0,13.0,3.0,14.0,14.0,13.0,15.0,14.0,3.0,13.0,13.0,12.0,13.0,14.0,12.0,7.0,13.0,12.0,2.0,8.0,8.0,2.0,10.0,9.0,12.0,12.0,13.0,12.0,14.0,3.0,13.0,9.0,14.0,14.0,13.0,3.0,3.0,12.0,14.0,12.0," 5'8""   ", Increased   ,2024-06-30, ,130000.0,4900000.0,2515000.0,5,8,172.72,10.0
445,     , Lenny Nangis                  , M/AM (RL)                        , GLP ,29.0, Nancy                     , £110K - £325K   ,1300.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,2.0,14.0,1.0,8.0,13.0,11.0,12.0,9.0,1.0,9.0,10.0,11.0,9.0,8.0,13.0,8.0,12.0,12.0,4.0,9.0,7.0,3.0,5.0,11.0,4.0,12.0,14.0,10.0,7.0,3.0,12.0,11.0,4.0,8.0,12.0,3.0,4.0,8.0,10.0,7.0," 5'8""   ", Increased   ,2024-06-30, ,110000.0,325000.0,217500.0,5,8,172.72,10.0
447,     , Johan Karlsson                ," D/WB (R), DM, M (RC)             ", SWE ,22.0, Kalmar FF                 , £110K - £1.1M   ,1000.0, -       , -           , -                            , Fairly Sporting     , Level-headed                , Reasonable    , Very Strong   ,2.0,12.0,1.0,7.0,11.0,12.0,10.0,11.0,3.0,12.0,11.0,11.0,12.0,13.0,10.0,7.0,12.0,5.0,1.0,8.0,6.0,1.0,7.0,8.0,11.0,12.0,12.0,12.0,12.0,3.0,13.0,9.0,11.0,13.0,11.0,3.0,1.0,12.0,13.0,7.0," 5'8""   ", Low         ,2025-12-31, ,110000.0,1100000.0,605000.0,5,8,172.72,28.0
449, Inj , Raúl Moro                     , AM (RLC)                         , ESP ,20.0, Valladolid                , £650K - £7M     ,15250.0, -       , -           , -                            , Fairly Sporting     , Level-headed                , Reasonable    , Very Strong   ,2.0,14.0,2.0,12.0,15.0,11.0,12.0,10.0,3.0,9.0,10.0,11.0,10.0,14.0,14.0,11.0,13.0,14.0,2.0,7.0,6.0,2.0,10.0,9.0,4.0,14.0,14.0,12.0,5.0,3.0,10.0,8.0,5.0,10.0,14.0,3.0,3.0,13.0,11.0,12.0," 5'8""   ", High        ,2025-06-30, ,650000.0,7000000.0,3825000.0,5,8,172.72,22.0
451,     , Igor Radrezza                 , M/AM (C)                         , ITA ,30.0, Padova                    , £150K - £425K   ,3100.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,3.0,12.0,2.0,10.0,12.0,12.0,12.0,9.0,2.0,12.0,13.0,10.0,11.0,12.0,13.0,12.0,13.0,12.0,2.0,8.0,8.0,3.0,9.0,11.0,7.0,14.0,12.0,12.0,12.0,2.0,12.0,10.0,8.0,12.0,13.0,3.0,2.0,12.0,11.0,10.0," 5'8""   ", Low         ,2024-06-30, ,150000.0,425000.0,287500.0,5,8,172.72,10.0
453,     , Aurélio Buta                  , D/WB (R)                         , ANG ,26.0, Eintracht Frankfurt       , £700K - £4.3M   ,24500.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Reasonable    , Very Strong   ,2.0,15.0,2.0,13.0,15.0,13.0,12.0,13.0,2.0,11.0,11.0,12.0,12.0,13.0,13.0,7.0,12.0,14.0,3.0,7.0,8.0,2.0,7.0,9.0,11.0,16.0,15.0,11.0,11.0,3.0,15.0,11.0,13.0,12.0,13.0,2.0,2.0,11.0,14.0,8.0," 5'8""   ", Increased   ,2026-06-30, ,700000.0,4300000.0,2500000.0,5,8,172.72,34.0
455, Inj , Brian Ocampo                  , AM (RL)                          , URU ,24.0, Cádiz                     , £6.8M - £8.2M   ,9000.0, -       , £12.75M     , -                            , Ambitious           , Media-friendly              , Reasonable    , Very Strong   ,3.0,16.0,1.0,13.0,15.0,13.0,9.0,6.0,2.0,8.0,10.0,15.0,10.0,11.0,15.0,13.0,15.0,16.0,3.0,6.0,7.0,1.0,5.0,15.0,4.0,13.0,15.0,12.0,5.0,2.0,11.0,8.0,5.0,10.0,16.0,3.0,1.0,12.0,10.0,14.0," 5'8""   ", High        ,2026-06-30, ,6800000.0,8199999.999999999,7500000.0,5,8,172.72,34.0
457,     , Lazare Amani                  ," DM, M/AM (C)                     ", CIV ,25.0, Union SG                  , £325K - £3.2M   ,4700.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,2.0,15.0,1.0,8.0,12.0,11.0,10.0,15.0,2.0,13.0,13.0,13.0,11.0,12.0,13.0,10.0,13.0,14.0,1.0,5.0,5.0,1.0,7.0,10.0,11.0,14.0,14.0,12.0,12.0,2.0,14.0,11.0,12.0,13.0,14.0,3.0,3.0,10.0,13.0,10.0," 5'8""   ", Increased   ,2025-06-30, ,325000.0,3200000.0,1762500.0,5,8,172.72,22.0
459,     , Luca Garritano                ," M (RLC), AM (LC)                 ", ITA ,29.0, Frosinone                 , £1.2M - £2.5M   ,11000.0, £1.2M   , -           , -                            , Resolute            , Level-headed                , Reasonable    , Very Strong   ,2.0,14.0,2.0,15.0,13.0,13.0,7.0,13.0,1.0,11.0,12.0,12.0,13.0,17.0,13.0,10.0,12.0,14.0,3.0,6.0,7.0,4.0,11.0,12.0,9.0,12.0,12.0,13.0,9.0,2.0,13.0,9.0,9.0,12.0,14.0,3.0,2.0,13.0,12.0,11.0," 5'8""   ", Increased   ,2024-06-30, ,1200000.0,2500000.0,1850000.0,5,8,172.72,10.0
461,     , Fabian Windhager              , D (R)                            , AUT ,21.0, FC Blau-Weiß Linz         , £100K - £1M     ,825.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,3.0,14.0,1.0,5.0,12.0,11.0,9.0,8.0,3.0,10.0,11.0,7.0,10.0,13.0,10.0,6.0,10.0,6.0,3.0,9.0,6.0,3.0,7.0,7.0,10.0,9.0,13.0,9.0,13.0,2.0,12.0,11.0,11.0,12.0,11.0,1.0,3.0,9.0,12.0,7.0," 5'8""   ", Increased   ,2024-06-30, ,100000.0,1000000.0,550000.0,5,8,172.72,10.0
463,     , Onel Hernández                , M/AM (RL)                        , CUB ,30.0, Norwich                   , £275K - £2.8M   ,17000.0, -       , -           , -                            , Fairly Professional , Level-headed                , Reasonable    , Very Strong   ,1.0,16.0,1.0,12.0,14.0,9.0,13.0,9.0,3.0,9.0,10.0,11.0,8.0,14.0,14.0,8.0,12.0,15.0,3.0,6.0,6.0,1.0,5.0,9.0,5.0,12.0,15.0,12.0,7.0,3.0,12.0,10.0,5.0,13.0,11.0,2.0,1.0,11.0,15.0,9.0," 5'8""   ", Very High   ,2025-06-30, ,275000.0,2800000.0,1537500.0,5,8,172.72,22.0
465,     , Enis Bardhi                   , M/AM (LC)                        , MKD ,28.0, Trabzonspor               , £275K - £2.8M   ,27000.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Fairly Strong , Very Strong   ,2.0,11.0,1.0,11.0,13.0,13.0,11.0,11.0,3.0,13.0,12.0,12.0,12.0,16.0,14.0,12.0,14.0,15.0,1.0,7.0,6.0,2.0,8.0,17.0,7.0,14.0,12.0,13.0,8.0,1.0,12.0,8.0,7.0,14.0,15.0,3.0,3.0,12.0,12.0,14.0," 5'8""   ", Low         ,2025-06-30, ,275000.0,2800000.0,1537500.0,5,8,172.72,22.0
467,     , Khalil Fayad                  , M (C)                            , FRA ,19.0, Montpellier               , £6.6M - £10M    ,1700.0, -       , -           , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,3.0,12.0,2.0,11.0,13.0,11.0,10.0,12.0,1.0,11.0,11.0,11.0,12.0,14.0,12.0,9.0,13.0,13.0,3.0,6.0,6.0,1.0,8.0,11.0,8.0,10.0,11.0,13.0,10.0,1.0,14.0,10.0,10.0,12.0,14.0,2.0,2.0,12.0,12.0,8.0," 5'8""   ", Low         ,2027-06-30, ,6600000.0,10000000.0,8300000.0,5,8,172.72,46.0
469,     , Pep Biel                      ," AM (RLC), ST (C)                 ", ESP ,26.0, Augsburg                  , £4.8M - £7.2M   ,20500.0, -       , -           , -                            , Fairly Professional , Reserved                    , Very Strong   , Weak          ,1.0,13.0,1.0,9.0,15.0,12.0,13.0,9.0,2.0,9.0,12.0,13.0,12.0,9.0,14.0,13.0,15.0,14.0,2.0,6.0,6.0,3.0,6.0,13.0,7.0,15.0,12.0,13.0,7.0,1.0,14.0,10.0,7.0,12.0,15.0,4.0,2.0,12.0,11.0,14.0," 5'8""   ", Increased   ,2027-06-30, ,4800000.0,7200000.0,6000000.0,5,8,172.72,46.0
471,     , Martin Baturina               ," M (C), AM (LC)                   ", CRO ,20.0, Dinamo                    , £6.4M - £9.4M   ,8250.0, -       , -           , -                            , Ambitious           , Media-friendly              , Fairly Strong , Very Strong   ,1.0,13.0,1.0,11.0,14.0,13.0,15.0,10.0,1.0,9.0,14.0,13.0,11.0,16.0,16.0,11.0,14.0,14.0,2.0,6.0,8.0,1.0,10.0,13.0,9.0,13.0,11.0,14.0,10.0,1.0,12.0,10.0,10.0,11.0,15.0,1.0,3.0,14.0,12.0,13.0," 5'8""   ", Low         ,2028-06-15, ,6400000.0,9400000.0,7900000.0,5,8,172.72,57.0
473,     , João Carvalho                 ," M (C), AM (LC)                   ", POR ,26.0, Olympiacos                , £200K - £2M     ,17250.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Fairly Strong , Very Strong   ,3.0,12.0,1.0,8.0,13.0,13.0,14.0,8.0,2.0,8.0,13.0,13.0,12.0,8.0,15.0,10.0,15.0,15.0,3.0,6.0,6.0,1.0,6.0,12.0,5.0,12.0,12.0,15.0,6.0,2.0,11.0,8.0,5.0,13.0,16.0,2.0,3.0,15.0,10.0,13.0," 5'8""   ", Low         ,2025-06-30, ,200000.0,2000000.0,1100000.0,5,8,172.72,22.0
475,     , Maximiliano Salas             , ST (C)                           , ARG ,25.0, Racing Club               , £100K - £1M     ,6000.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,1.0,13.0,3.0,13.0,13.0,12.0,14.0,13.0,1.0,12.0,12.0,11.0,13.0,12.0,13.0,13.0,12.0,12.0,2.0,11.0,10.0,2.0,10.0,13.0,4.0,13.0,13.0,11.0,10.0,2.0,14.0,14.0,2.0,13.0,12.0,2.0,3.0,9.0,12.0,7.0," 5'8""   ", Increased   ,2025-12-31, ,100000.0,1000000.0,550000.0,5,8,172.72,28.0
477, Wnt , Marcel Oakley                 ," D (RC), WB (R)                   ", ENG ,20.0, Birmingham                , £425K - £1.2M   ,650.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,3.0,11.0,4.0,11.0,9.0,10.0,10.0,11.0,3.0,12.0,10.0,9.0,11.0,9.0,8.0,7.0,8.0,10.0,3.0,10.0,8.0,3.0,9.0,6.0,10.0,11.0,11.0,9.0,12.0,2.0,10.0,10.0,10.0,10.0,8.0,1.0,2.0,9.0,10.0,8.0," 5'8""   ", Increased   ,2024-06-30, ,425000.0,1200000.0,812500.0,5,8,172.72,10.0
479,     , Nicolás Capaldo               ," DM, M (RC)                       ", ARG ,24.0, FC RB Salzburg            , £8.8M - £13M    ,21500.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Reasonable    , Very Strong   ,2.0,16.0,2.0,11.0,14.0,12.0,13.0,15.0,3.0,13.0,13.0,10.0,11.0,15.0,11.0,8.0,12.0,12.0,1.0,11.0,8.0,1.0,6.0,7.0,13.0,13.0,15.0,13.0,13.0,1.0,17.0,13.0,13.0,15.0,13.0,3.0,4.0,13.0,17.0,6.0," 5'8""   ", Normal      ,2026-05-31, ,8800000.0,13000000.0,10900000.0,5,8,172.72,33.0
481, Inj , Jay Matete                    ," DM, M (C)                        ", COD ,22.0, Oxford United             , £425K - £3.7M   ,3500.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,13.0,2.0,14.0,14.0,11.0,12.0,13.0,3.0,13.0,11.0,7.0,11.0,12.0,11.0,8.0,9.0,12.0,2.0,7.0,8.0,2.0,9.0,6.0,12.0,10.0,11.0,12.0,12.0,1.0,15.0,12.0,13.0,13.0,13.0,3.0,2.0,11.0,15.0,5.0," 5'8""   ", High        ,2026-06-30, ,425000.0,3700000.0,2062500.0,5,8,172.72,34.0
483,     , Luís Martins                  , D/WB (L)                         , POR ,31.0, Vancouver                 , £170K - £1.7M   ,4600.0, -       , -           , -                            , Balanced            , Level-headed                , Very Strong   , Weak          ,2.0,12.0,3.0,14.0,12.0,9.0,13.0,12.0,2.0,12.0,13.0,13.0,11.0,12.0,12.0,8.0,12.0,11.0,2.0,8.0,8.0,3.0,12.0,12.0,9.0,13.0,12.0,12.0,12.0,1.0,13.0,10.0,12.0,14.0,13.0,1.0,3.0,12.0,13.0,13.0," 5'8""   ", Low         ,2025-12-31, ,170000.0,1700000.0,935000.0,5,8,172.72,28.0
485,     , Fábio Tavares                 ," AM (RL), ST (C)                  ", ENG ,22.0, Coventry                  , £120K - £1.2M   ,1800.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,1.0,17.0,3.0,7.0,13.0,12.0,12.0,10.0,1.0,8.0,11.0,8.0,9.0,9.0,13.0,14.0,10.0,12.0,2.0,8.0,6.0,4.0,3.0,8.0,3.0,13.0,16.0,8.0,2.0,2.0,10.0,5.0,6.0,8.0,13.0,3.0,4.0,7.0,13.0,8.0," 5'8""   ", Low         ,2025-06-30, ,120000.0,1200000.0,660000.0,5,8,172.72,22.0
487,     , Regan Slater                  ," DM, M (LC), AM (L)               ", ENG ,23.0, Hull                      , £450K - £7.2M   ,10000.0, -       , -           , -                            , Fairly Ambitious    , Media-friendly              , Reasonable    , Very Strong   ,2.0,11.0,1.0,15.0,12.0,12.0,12.0,12.0,2.0,11.0,12.0,10.0,12.0,13.0,13.0,13.0,12.0,9.0,1.0,9.0,9.0,3.0,13.0,12.0,11.0,13.0,11.0,13.0,13.0,1.0,13.0,11.0,11.0,13.0,12.0,3.0,2.0,13.0,15.0,9.0," 5'8""   ", Very High   ,2026-06-30, ,450000.0,7200000.0,3825000.0,5,8,172.72,34.0
489,     , Yunus Akgün                   ," M (C), AM (RC)                   ", TUR ,23.0, Leicester                 , £8.4M - £10M    ,11500.0, -       , -           , -                            , Balanced            , Level-headed                , Very Strong   , Reasonable    ,2.0,15.0,2.0,12.0,18.0,10.0,11.0,12.0,2.0,10.0,13.0,12.0,10.0,13.0,15.0,11.0,13.0,16.0,3.0,9.0,6.0,2.0,8.0,12.0,4.0,12.0,14.0,13.0,6.0,2.0,12.0,7.0,4.0,13.0,15.0,3.0,2.0,13.0,13.0,11.0," 5'8""   ", Increased   ,2026-06-30, ,8400000.0,10000000.0,9200000.0,5,8,172.72,34.0
491,     , John Buckley                  ," DM, M/AM (C)                     ", ENG ,23.0, Blackburn                 , £475K - £3.8M   ,10000.0, -       , -           , -                            , Fairly Loyal        ," Outspoken, Media-friendly   ", Reasonable    , Very Strong   ,2.0,13.0,1.0,13.0,12.0,12.0,12.0,16.0,3.0,9.0,14.0,12.0,10.0,11.0,13.0,9.0,14.0,13.0,3.0,5.0,7.0,3.0,8.0,9.0,8.0,13.0,12.0,14.0,11.0,2.0,12.0,8.0,10.0,14.0,15.0,3.0,3.0,15.0,14.0,11.0," 5'8""   ", Increased   ,2027-06-30, ,475000.0,3800000.0,2137500.0,5,8,172.72,46.0
493,     , Alex Hunt                     ," DM, M (C)                        ", IRL ,23.0, Grimsby                   , £150K - £425K   ,1500.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,10.0,1.0,12.0,11.0,10.0,9.0,13.0,1.0,10.0,11.0,11.0,8.0,13.0,11.0,7.0,12.0,9.0,2.0,6.0,6.0,2.0,6.0,12.0,10.0,8.0,11.0,13.0,10.0,3.0,12.0,6.0,10.0,12.0,13.0,3.0,3.0,14.0,12.0,12.0," 5'8""   ", High        ,2025-06-30, ,150000.0,425000.0,287500.0,5,8,172.72,22.0
495,     , Lewis O'Brien                 ," DM, M (C)                        ", ENG ,24.0, Middlesbrough             , £5.4M - £6.8M   ,45000.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Very Strong   , Reasonable    ,2.0,12.0,2.0,10.0,13.0,13.0,14.0,14.0,2.0,10.0,12.0,10.0,14.0,15.0,13.0,11.0,12.0,9.0,2.0,7.0,7.0,3.0,13.0,10.0,10.0,14.0,13.0,12.0,13.0,3.0,16.0,12.0,13.0,15.0,12.0,3.0,1.0,12.0,15.0,8.0," 5'8""   ", Low         ,2027-06-30, ,5400000.0,6800000.0,6100000.0,5,8,172.72,46.0
497, Opt , Gabriël Misehouy              ," M (C), AM (RLC), ST (C)          ", NED ,18.0, Ajax                      , £10M - £12.5M   ,6500.0, -       , -           , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,2.0,12.0,1.0,11.0,14.0,8.0,12.0,7.0,2.0,11.0,8.0,8.0,12.0,13.0,13.0,12.0,13.0,12.0,3.0,7.0,9.0,2.0,12.0,10.0,7.0,9.0,12.0,13.0,8.0,1.0,9.0,12.0,7.0,12.0,14.0,2.0,3.0,13.0,13.0,10.0," 5'8""   ", Low         ,2024-06-30, ,10000000.0,12500000.0,11250000.0,5,8,172.72,10.0
499,     , Cristian Roldan               , M/AM (RC)                        , USA ,28.0, Seattle                   , £6.2M - £7.6M   ,22000.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,1.0,12.0,1.0,11.0,11.0,10.0,14.0,12.0,2.0,12.0,13.0,11.0,14.0,12.0,14.0,12.0,10.0,11.0,2.0,8.0,8.0,2.0,14.0,10.0,11.0,12.0,12.0,14.0,12.0,2.0,13.0,10.0,11.0,14.0,14.0,3.0,3.0,15.0,15.0,11.0," 5'8""   ", Low         ,2027-12-31, ,6200000.0,7600000.0,6900000.0,5,8,172.72,52.0
501,     , Flavio                        , AM (R)                           , CPV ,27.0, FAC Wien                  , £150K - £425K   ,650.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,14.0,3.0,10.0,12.0,11.0,11.0,12.0,2.0,7.0,12.0,8.0,12.0,13.0,9.0,7.0,7.0,10.0,1.0,5.0,8.0,1.0,5.0,7.0,8.0,13.0,13.0,12.0,5.0,3.0,12.0,12.0,9.0,12.0,12.0,3.0,2.0,8.0,10.0,6.0," 5'8""   ", Normal      ,2024-06-30, ,150000.0,425000.0,287500.0,5,8,172.72,10.0
503,     , Carlos Mané                   , AM (RLC)                         , GNB ,29.0, Kayserispor               , £375K - £3.7M   ,10250.0, -       , -           , -                            , Fairly Professional , Level-headed                , Weak          , Very Strong   ,2.0,14.0,1.0,14.0,14.0,10.0,13.0,8.0,2.0,10.0,12.0,12.0,12.0,13.0,13.0,11.0,13.0,15.0,2.0,9.0,9.0,3.0,7.0,11.0,5.0,13.0,14.0,12.0,8.0,1.0,10.0,8.0,8.0,11.0,13.0,2.0,1.0,14.0,13.0,12.0," 5'8""   ", Low         ,2024-06-30, ,375000.0,3700000.0,2037500.0,5,8,172.72,10.0
505, Inj , George Honeyman               , M/AM (RLC)                       , ENG ,28.0, Millwall                  , £350K - £3.5M   ,10000.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Fairly Strong , Very Strong   ,3.0,11.0,3.0,7.0,12.0,13.0,11.0,12.0,3.0,10.0,13.0,11.0,10.0,12.0,12.0,9.0,13.0,12.0,3.0,5.0,7.0,4.0,13.0,8.0,9.0,13.0,11.0,14.0,11.0,3.0,14.0,8.0,8.0,14.0,12.0,1.0,3.0,13.0,17.0,14.0," 5'8""   ", High        ,2025-06-30, ,350000.0,3500000.0,1925000.0,5,8,172.72,22.0
507,     , Rodrigo Valente               ," M (C), AM (RC)                   ", POR ,22.0, Santa Clara               , £140K - £1.4M   ,1200.0, -       , -           , -                            , Fairly Professional , Level-headed                , Weak          , Very Strong   ,3.0,12.0,3.0,13.0,12.0,11.0,13.0,14.0,3.0,12.0,11.0,10.0,11.0,14.0,11.0,11.0,11.0,12.0,4.0,5.0,7.0,2.0,12.0,7.0,4.0,13.0,12.0,12.0,9.0,3.0,13.0,9.0,9.0,13.0,12.0,1.0,2.0,12.0,13.0,9.0," 5'8""   ", Low         ,2024-06-30, ,140000.0,1400000.0,770000.0,5,8,172.72,10.0
509,     , Florian Flecker               , WB/M/AM (R)                      , AUT ,27.0, LASK                      , £300K - £3M     ,2700.0, -       , -           , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,2.0,15.0,3.0,13.0,13.0,9.0,11.0,12.0,1.0,12.0,12.0,11.0,12.0,13.0,10.0,8.0,12.0,7.0,3.0,9.0,11.0,3.0,7.0,6.0,9.0,13.0,14.0,12.0,11.0,3.0,14.0,11.0,10.0,13.0,11.0,2.0,3.0,12.0,13.0,8.0," 5'8""   ", Increased   ,2024-06-30, ,300000.0,3000000.0,1650000.0,5,8,172.72,10.0
511,     , Adam Montgomery               , D/WB/M/AM (L)                    , SCO ,21.0, Motherwell                , £150K - £1.5M   ,4000.0, -       , -           , -                            , Fairly Determined   , Media-friendly              , Very Strong   , Fairly Strong ,2.0,13.0,1.0,11.0,12.0,7.0,8.0,14.0,3.0,14.0,10.0,8.0,8.0,15.0,11.0,7.0,6.0,11.0,3.0,11.0,7.0,1.0,4.0,11.0,12.0,11.0,12.0,10.0,9.0,4.0,11.0,8.0,9.0,10.0,11.0,2.0,1.0,8.0,13.0,9.0," 5'8""   ", Very High   ,2025-05-31, ,150000.0,1500000.0,825000.0,5,8,172.72,21.0
